ma,province,confirmed-cases
30,Hải Dương,773
48,Đà Nẵng,556
1,Hà Nội,419
79,TP. Hồ Chí Minh,273
27,Bắc Ninh,152
56,Khánh Hòa,139
49,Quảng Nam,121
77,Bà Rịa – Vũng Tàu,109
24,Bắc Giang,106
26,Vĩnh Phúc,94
22,Quảng Ninh,89
33,Hưng Yên,59
95,Bạc Liêu,52
34,Thái Bình,52
74,Bình Dương,44
91,Kiên Giang,39
73,Tây Ninh,38
37,Ninh Bình,36
92,Cần Thơ,34
17,Hòa Bình,31
54,Phú Yên,29
75,Đồng Nai,28
87,Đồng Tháp,28
64,Gia Lai,27
35,Hà Nam,25
38,Thanh Hóa,25
36,Nam Định,22
83,Bến Tre,20
45,Quảng Trị,13
42,Hà Tĩnh,12
58,Ninh Thuận,12
86,Vĩnh Long,12
60,Bình Thuận,11
31,Hải Phòng,10
20,Lạng Sơn,10
80,Long An,9
89,An Giang,8
96,Cà Mau,8
82,Tiền Giang,8
84,Trà Vinh,8
51,Quảng Ngãi,7
19,Thái Nguyên,6
46,Thừa Thiên – Huế,6
66,Đắk Lắk,5
11,Điện Biên,5
40,Nghệ An,5
15,Yên Bái,5
25,Phú Thọ,4
94,Sóc Trăng,4
2,Hà Giang,2
10,Lào Cai,2
12,Lai Châu,1
